source	target	weight
48048854	48125093	.04
48048854	48147896	.03
50693665	52426643	.66
50693665	50257014	.33
50693665	51531165	.49
50693665	51140220	.15
50693665	49564513	.73
50693665	50709377	.33
50693665	51640360	1.00
50693665	50692775	.36
50693665	50694262	.66
50693665	48078018	.13
50693665	49575679	.39
50693665	51397347	.33
50693665	49643253	.41
50693665	51405776	.33
50693665	51387873	.70
50693665	49584185	.38
50693665	49622341	.41
50693665	48346709	.41
50693665	52473290	.36
50693665	51010390	.55
50693665	52281848	.38
50693665	52421999	.70
50693665	51912404	.54
50693665	48584288	.80
50693665	51051532	.35
50693665	49592840	.39
50693665	50694822	.31
50693665	51071090	.63
50693665	52401856	.41
50693665	50925160	.27
50693665	48568373	.14
50693665	52387452	.79
50693665	50633023	.43
50693665	50962797	.35
50693665	50696931	.66
50693665	50701321	1.00
50693665	49586341	.39
50693665	51215836	.63
50693665	52424462	.85
50693665	51174105	.47
50693665	49720178	.81
50693665	52390368	.19
50693665	52522565	.28
48729987	48780603	.05
48304116	50792311	.72
48304116	50986651	.72
48304116	49208056	.15
48304116	49789150	.04
48304116	50086183	.81
48304116	52690296	.74
48304116	52145064	.49
48304116	49834961	.49
48304116	49295415	.49
48304116	48103748	.74
48304116	48943416	.14
48304116	51957944	.72
48304116	52503768	.48
48304116	48078018	.62
48304116	51241109	.07
48304116	48519896	.73
48304116	49505929	.49
48304116	52512326	.47
48304116	48255269	.12
48304116	50085237	.74
48304116	48061593	.42
48304116	49894620	.13
48304116	48223906	.07
48304116	49683234	.62
48304116	48276868	.65
48304116	50757141	.73
48304116	48298361	.09
48304116	51218535	.58
48304116	49949818	.65
48304116	52786963	.68
48304116	50134196	.64
48304116	49348365	.13
48304116	49718415	.57
48304116	50207790	.55
48304116	52076491	.61
48304116	48531410	.72
48304116	49510176	.45
48304116	48428201	.17
48304116	49525708	.47
48304116	49518003	.50
48304116	48420468	.02
48304116	49415958	.08
48304116	52557175	.67
48304116	50558470	.62
48304116	49895280	.55
48304116	48535193	.07
48304116	49608409	.48
48304116	50795697	.64
48304116	50205825	.55
48304116	49506307	.54
48304116	48689930	.73
48304116	48335551	.74
48304116	49206280	.09
48304116	49837474	.45
48304116	52193274	.45
48304116	50508334	.08
48304116	50344635	.70
48304116	50120459	.69
48304116	53578201	.15
48304116	48987512	.16
48304116	49643536	.08
48304116	51202130	.55
48304116	49514488	.53
48304116	49002527	.63
48304116	49955489	.46
48304116	50134205	.08
48304116	48527171	.72
48304116	51489362	.72
48304116	49321000	.68
48304116	49171300	.74
48304116	48345315	.16
48304116	50387207	.62
48304116	50243901	.20
48304116	49962542	.60
48304116	52861437	.07
48304116	49331411	.52
48304116	49553021	.49
48304116	49818415	.66
48304116	49522619	.53
48304116	51554366	.11
48304116	50289355	.46
48304116	50266035	.74
48304116	48172519	.73
48304116	48898102	.69
48304116	52352941	.70
48304116	53367195	.06
48304116	49991444	.64
48304116	49186095	.70
48304116	53578372	.07
48304116	51280090	.72
48304116	50782806	.68
48304116	48298910	.65
48304116	50316693	.14
48304116	52513097	.49
48304116	49523302	.52
48304116	49661521	.16
48304116	49511200	.48
48304116	50597159	.15
48304116	49599509	.57
48304116	49405616	.72
48304116	52541525	.55
48304116	49269814	.71
48304116	49512629	.68
48304116	48399005	.64
48304116	50140966	.15
48304116	49670545	.74
48304116	49631154	.47
48304116	51797219	.54
48304116	48152008	.06
48304116	51112703	.74
48304116	50151772	.51
48304116	49153215	.58
48304116	49056723	.48
48304116	49518115	.73
48304116	51383618	.12
48304116	48756550	.07
48304116	49834694	.64
48304116	49737865	.55
48304116	51125169	.64
48304116	50722133	.14
48304116	49906437	.06
48304116	48841742	.54
48304116	48052940	.74
48304116	50462402	.08
48304116	48351721	.47
48304116	49684857	.09
48304116	52380615	.72
48304116	49835660	.67
48304116	51450521	.65
48304116	48117511	.42
48304116	49786779	.54
48304116	51080755	.73
48304116	49676155	.50
48304116	50461881	.62
48304116	50089436	.52
48304116	50605219	.12
48304116	49537782	.08
48304116	48096905	.45
48304116	49505245	.65
48304116	49891730	.49
48304116	52945041	.49
48304116	49518223	.53
48304116	52470044	.64
48304116	51123197	.65
48304116	50165010	.08
48304116	52412023	.45
48304116	50146640	.51
48304116	51793345	.59
48304116	50279792	.55
48304116	49148753	.07
48304116	49280632	.73
48304116	50157690	.61
48304116	50569501	.44
48304116	50313967	.52
48304116	49709023	.52
48304116	50149266	.39
48304116	48910876	.12
48304116	48280400	.09
48304116	48462550	.49
48304116	49162538	.63
48304116	49045393	.51
48304116	48406186	.53
48304116	48072438	.52
48304116	51399634	.74
48304116	52790020	.48
48304116	48759022	.55
48304116	49208772	.62
48304116	50782435	.55
48304116	49837344	.69
48304116	49574127	.55
48304116	48071618	.49
48304116	48147896	.14
48304116	50586177	.47
48304116	49292487	.55
48304116	49990933	.62
48304116	48249633	.73
48304116	50577437	.49
48304116	49171052	.63
48304116	50117626	.74
48304116	49112190	.53
48304116	48709870	.63
48230230	50408941	.63
48230230	51422146	.85
48230230	51306862	.74
48230230	48590268	.73
48230230	48753255	.85
48230230	48554874	.74
48230230	48367022	.04
48230230	49262379	.83
48230230	50765892	.67
48230230	49705047	.73
48230230	48993004	.68
48230230	49323099	.66
48230230	48047079	.74
48230230	49579282	.77
48230230	48448473	.80
48230230	48163641	.71
48230230	48350850	.76
48230230	49901806	.65
48230230	51283708	.72
48230230	48140858	.71
48230230	50624046	.83
48230230	48614158	.64
48230230	48585577	.85
48230230	49562499	.81
48230230	50323522	.04
48230230	48067514	.81
48230230	50298011	.72
48230230	50205646	.61
48230230	49186905	.78
48230230	48201729	.92
48230230	49608656	.71
48230230	48257255	.70
48230230	50557234	.68
48230230	48156460	.96
48230230	50647391	.72
48230230	48372019	.83
48230230	51853018	.79
48230230	49837474	.40
48230230	50501787	.76
48230230	48641632	.76
48230230	49955489	.41
48230230	49141525	.79
48230230	50304156	.73
48230230	48347331	.76
48230230	48218065	.66
48230230	48342098	.79
48230230	48814309	.73
48230230	48541801	.71
48230230	48822571	.80
48230230	50552404	.71
48230230	49592980	.80
48230230	50087098	.68
48230230	51087158	.92
48230230	49094597	.63
48230230	48306694	.86
48230230	48493755	.68
48230230	52110869	.83
48230230	48105448	.84
48230230	48952993	.73
48230230	48647534	.73
48230230	50482884	.73
48230230	49188960	.72
48230230	48552343	.48
48230230	48094854	.76
48230230	51476300	.73
48230230	48340341	.75
48230230	48932445	.82
48230230	48235169	.78
48230230	48072619	.72
48230230	51146117	.72
48230230	49978705	.82
48230230	49704364	.61
48230230	49745105	.71
48230230	48959098	.81
48230230	51252580	.84
48230230	50421287	.71
48230230	48589141	.79
48230230	49932759	.64
48230230	48304305	.78
48230230	49161120	.76
48230230	48729915	.82
48230230	50284753	.84
48230230	48608894	.81
48230230	52584907	.74
48230230	50807507	.81
48230230	50649853	.73
48230230	51402579	.73
48230230	48477949	.85
48230230	49918479	.71
48230230	49964093	.71
48230230	49433936	.78
48230230	48750199	.76
48230230	48376580	.81
48230230	50655738	.73
48230230	49743961	.71
48230230	48066517	.70
48230230	50394873	.75
48230230	51279791	.65
48230230	51125013	.71
48230230	49940813	.73
48230230	51050257	.78
48230230	48152674	.80
48230230	48340392	.81
48230230	49718346	.69
48230230	48121916	.89
48230230	49127834	.79
48230230	49748063	.72
48230230	49839610	.73
48230230	48720833	.55
48230230	49768770	.69
48230230	49836676	.73
48774285	49186905	.07
48774285	48905127	.57
48774285	48298146	1.00
